|  order|    col|   calc|  accepted |
|       | pixels|  $\AA$|     $\AA$ |
      49      33  15493.7    15500.6  
      49      75  15503.0    15509.6  
      49     113  15511.4    15517.7  
      49     216  15534.2    15539.7  
      49     222  15535.5    15540.9  
      49     246  15540.8    15545.9  
      49     357  15565.4    15570.1  
      49     483  15593.3    15597.4  
      49     637  15627.3    15631.0  
      49     742  15650.5    15654.8  
      49     747  15651.7    15656.2  
      49     755  15653.4    15657.7  
      49     953  15697.2    15702.4  
