|  order|    col|   calc|  accepted |
|       | pixels|  $\AA$|     $\AA$ |
      47     214  16192.6    16194.5  
      47     393  16233.9    16234.9  
      47     397  16234.8    16235.9  
      47     547  16269.4    16270.6  
      47     686  16301.5    16302.6  
      47     749  16316.0    16316.9  
      47     854  16340.2    16341.5  
      47     897  16350.1    16352.0  
      47     933  16358.4    16360.2  
