     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
      37   1.582164e+04   1.044e+03   7.349e+00   1.258e-01   4.403e+01   1.080e+00    3.119e+02    2.513e+02   2.816e+02   2.814e+02  -2.057e-01  
      38   1.582186e+04   1.022e+03   6.426e+00   1.258e-01   4.302e+01   1.071e+00    3.118e+02    2.512e+02   2.815e+02   2.814e+02  -1.070e-01  
      39   1.582207e+04   9.631e+02   7.221e+00   1.258e-01   4.135e+01   1.087e+00    3.118e+02    2.512e+02   2.815e+02   2.814e+02  -4.493e-02  
      40   1.582229e+04   8.430e+02   6.634e+00   1.258e-01   3.605e+01   1.056e+00    3.118e+02    2.513e+02   2.815e+02   2.815e+02  -7.552e-02  
      41   1.582251e+04   8.239e+02   4.081e+00   1.258e-01   3.633e+01   1.086e+00    3.119e+02    2.513e+02   2.816e+02   2.815e+02  -1.442e-01  
      42   1.582272e+04   8.593e+02   2.847e+00   1.258e-01   3.718e+01   1.067e+00    3.120e+02    2.512e+02   2.816e+02   2.815e+02  -1.174e-01  
      43   1.582294e+04   9.028e+02   4.908e+00   1.258e-01   3.933e+01   1.083e+00    3.120e+02    2.512e+02   2.816e+02   2.815e+02  -6.920e-02  
      44   1.582316e+04   1.008e+03   5.106e+00   1.258e-01   4.236e+01   1.065e+00    3.120e+02    2.513e+02   2.816e+02   2.815e+02  -1.239e-01  
      45   1.582337e+04   9.752e+02   3.257e+00   1.258e-01   4.176e+01   1.076e+00    3.120e+02    2.512e+02   2.816e+02   2.815e+02  -5.399e-02  
      46   1.582359e+04   9.796e+02   5.611e+00   1.258e-01   4.121e+01   1.061e+00    3.121e+02    2.512e+02   2.817e+02   2.815e+02  -1.220e-01  
      47   1.582381e+04   1.029e+03   8.069e+00   1.258e-01   4.325e+01   1.073e+00    3.121e+02    2.512e+02   2.816e+02   2.816e+02  -5.363e-02  
      48   1.582402e+04   1.117e+03   4.990e+00   1.258e-01   4.601e+01   1.058e+00    3.119e+02    2.513e+02   2.816e+02   2.816e+02  -2.787e-02  
      49   1.582424e+04   1.105e+03   4.104e+00   1.258e-01   4.679e+01   1.084e+00    3.118e+02    2.513e+02   2.816e+02   2.816e+02   1.221e-02  
      50   1.582446e+04   1.051e+03   5.617e+00   1.258e-01   4.328e+01   1.047e+00    3.119e+02    2.514e+02   2.816e+02   2.816e+02  -5.284e-02  
      51   1.582467e+04   1.079e+03   4.480e+00   1.258e-01   4.605e+01   1.092e+00    3.118e+02    2.514e+02   2.816e+02   2.816e+02   3.964e-03  
      52   1.582489e+04   1.065e+03   4.266e+00   1.258e-01   4.431e+01   1.061e+00    3.119e+02    2.514e+02   2.816e+02   2.816e+02  -2.692e-02  
      53   1.582511e+04   1.076e+03   4.729e+00   1.258e-01   4.584e+01   1.094e+00    3.120e+02    2.513e+02   2.816e+02   2.816e+02   1.406e-02  
      54   1.582532e+04   1.130e+03   5.513e+00   1.258e-01   4.673e+01   1.067e+00    3.118e+02    2.514e+02   2.816e+02   2.816e+02   2.186e-02  
      55   1.582554e+04   1.068e+03   9.783e+00   1.258e-01   4.490e+01   1.087e+00    3.119e+02    2.513e+02   2.816e+02   2.817e+02   9.268e-02  
      56   1.582576e+04   1.069e+03   7.026e+00   1.258e-01   4.479e+01   1.081e+00    3.120e+02    2.515e+02   2.817e+02   2.817e+02  -7.027e-02  
