     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   1.614752e+04   9.469e+02   9.383e+00   1.268e-01   4.003e+01   1.092e+00    4.360e+02    3.750e+02   4.055e+02   4.056e+02   5.443e-02  
       1   1.614774e+04   9.532e+02   5.900e+00   1.335e-01   4.092e+01   1.091e+00    4.351e+02    3.752e+02   4.052e+02   4.056e+02   3.990e-01  
       2   1.614796e+04   9.846e+02   8.745e+00   1.416e-01   3.920e+01   1.014e+00    4.354e+02    3.754e+02   4.054e+02   4.056e+02   1.487e-01  
       3   1.614818e+04   9.921e+02   1.040e+01   1.344e-01   3.938e+01   1.021e+00    4.359e+02    3.752e+02   4.056e+02   4.056e+02   5.036e-03  
       4   1.614840e+04   9.694e+02   7.157e+00   1.271e-01   3.826e+01   1.003e+00    4.361e+02    3.752e+02   4.056e+02   4.056e+02  -4.176e-02  
       5   1.614862e+04   9.617e+02   9.790e+00   1.278e-01   3.902e+01   1.043e+00    4.359e+02    3.753e+02   4.056e+02   4.056e+02  -2.100e-04  
       6   1.614884e+04   9.759e+02   8.415e+00   1.365e-01   3.973e+01   1.045e+00    4.361e+02    3.752e+02   4.056e+02   4.056e+02  -3.817e-02  
       7   1.614906e+04   1.031e+03   6.220e+00   1.410e-01   4.237e+01   1.056e+00    4.359e+02    3.753e+02   4.056e+02   4.056e+02  -4.834e-02  
       8   1.614928e+04   9.121e+02   9.761e+00   1.316e-01   3.698e+01   1.033e+00    4.358e+02    3.751e+02   4.055e+02   4.056e+02   1.008e-01  
       9   1.614950e+04   9.911e+02   8.046e+00   1.264e-01   4.069e+01   1.054e+00    4.360e+02    3.753e+02   4.057e+02   4.056e+02  -7.280e-02  
      10   1.614972e+04   1.016e+03   5.073e+00   1.258e-01   4.094e+01   1.029e+00    4.358e+02    3.750e+02   4.054e+02   4.056e+02   1.777e-01  
      11   1.614994e+04   9.363e+02   6.115e+00   1.258e-01   3.860e+01   1.038e+00    4.362e+02    3.752e+02   4.057e+02   4.056e+02  -1.367e-01  
      12   1.615016e+04   9.877e+02   8.856e+00   1.258e-01   3.984e+01   1.037e+00    4.359e+02    3.752e+02   4.056e+02   4.056e+02   3.699e-02  
      13   1.615038e+04   9.757e+02   6.887e+00   1.258e-01   4.021e+01   1.052e+00    4.358e+02    3.752e+02   4.055e+02   4.056e+02   1.015e-01  
      14   1.615060e+04   9.374e+02   9.242e+00   1.258e-01   3.832e+01   1.046e+00    4.359e+02    3.754e+02   4.056e+02   4.056e+02  -2.920e-02  
      15   1.615082e+04   1.016e+03   8.615e+00   1.258e-01   4.195e+01   1.068e+00    4.362e+02    3.754e+02   4.058e+02   4.056e+02  -1.897e-01  
      16   1.615105e+04   1.002e+03   6.857e+00   1.258e-01   4.055e+01   1.037e+00    4.358e+02    3.752e+02   4.055e+02   4.056e+02   7.101e-02  
      17   1.615127e+04   1.005e+03   6.701e+00   1.258e-01   4.136e+01   1.049e+00    4.359e+02    3.753e+02   4.056e+02   4.056e+02   3.354e-03  
      18   1.615149e+04   9.694e+02   6.185e+00   1.258e-01   3.924e+01   1.030e+00    4.361e+02    3.753e+02   4.057e+02   4.056e+02  -7.606e-02  
      19   1.615171e+04   9.639e+02   7.898e+00   1.258e-01   3.979e+01   1.055e+00    4.360e+02    3.753e+02   4.056e+02   4.056e+02   1.780e-02  
      20   1.615193e+04   9.352e+02   5.920e+00   1.258e-01   3.815e+01   1.040e+00    4.360e+02    3.755e+02   4.057e+02   4.056e+02  -1.129e-01  
      21   1.615215e+04   9.595e+02   5.384e+00   1.258e-01   3.991e+01   1.059e+00    4.359e+02    3.753e+02   4.056e+02   4.056e+02   2.169e-02  
      22   1.615237e+04   1.017e+03   3.197e+00   1.258e-01   4.147e+01   1.041e+00    4.361e+02    3.753e+02   4.057e+02   4.056e+02  -4.588e-02  
      23   1.615259e+04   9.458e+02   5.792e+00   1.258e-01   3.933e+01   1.054e+00    4.360e+02    3.754e+02   4.057e+02   4.056e+02  -5.128e-02  
      24   1.615281e+04   9.974e+02   5.966e+00   1.258e-01   4.046e+01   1.039e+00    4.359e+02    3.755e+02   4.057e+02   4.056e+02  -6.786e-02  
      25   1.615303e+04   9.724e+02   5.351e+00   1.258e-01   4.069e+01   1.066e+00    4.360e+02    3.754e+02   4.057e+02   4.056e+02  -7.733e-02  
      26   1.615325e+04   1.064e+03   4.363e+00   1.258e-01   4.311e+01   1.044e+00    4.360e+02    3.753e+02   4.057e+02   4.057e+02  -2.080e-02  
      27   1.615347e+04   1.006e+03   4.952e+00   1.258e-01   4.193e+01   1.065e+00    4.358e+02    3.754e+02   4.056e+02   4.057e+02   5.093e-02  
      28   1.615369e+04   9.556e+02   7.487e+00   1.258e-01   3.887e+01   1.043e+00    4.359e+02    3.753e+02   4.056e+02   4.057e+02   5.575e-02  
      29   1.615391e+04   9.935e+02   7.748e+00   1.258e-01   4.116e+01   1.067e+00    4.359e+02    3.755e+02   4.057e+02   4.057e+02  -1.382e-02  
      30   1.615413e+04   1.000e+03   4.962e+00   1.258e-01   4.136e+01   1.058e+00    4.361e+02    3.754e+02   4.058e+02   4.057e+02  -9.779e-02  
      31   1.615435e+04   9.826e+02   4.314e+00   1.258e-01   4.120e+01   1.070e+00    4.358e+02    3.754e+02   4.056e+02   4.057e+02   4.888e-02  
      32   1.615457e+04   9.380e+02   6.000e+00   1.258e-01   3.902e+01   1.056e+00    4.360e+02    3.754e+02   4.057e+02   4.057e+02   8.180e-03  
      33   1.615480e+04   9.684e+02   6.270e+00   1.258e-01   4.070e+01   1.073e+00    4.362e+02    3.756e+02   4.059e+02   4.057e+02  -2.057e-01  
      34   1.615502e+04   1.015e+03   3.916e+00   1.258e-01   4.194e+01   1.059e+00    4.359e+02    3.752e+02   4.056e+02   4.057e+02   1.198e-01  
      35   1.615524e+04   9.549e+02   5.184e+00   1.258e-01   4.019e+01   1.068e+00    4.361e+02    3.753e+02   4.057e+02   4.057e+02  -3.799e-02  
      36   1.615546e+04   8.794e+02   7.624e+00   1.258e-01   3.655e+01   1.051e+00    4.360e+02    3.754e+02   4.057e+02   4.057e+02  -1.901e-02  
      37   1.615568e+04   9.413e+02   5.624e+00   1.258e-01   3.973e+01   1.067e+00    4.358e+02    3.752e+02   4.055e+02   4.057e+02   1.696e-01  
      38   1.615590e+04   9.078e+02   4.385e+00   1.258e-01   3.758e+01   1.042e+00    4.358e+02    3.754e+02   4.056e+02   4.057e+02   5.569e-02  
      39   1.615612e+04   9.897e+02   5.164e+00   1.258e-01   4.134e+01   1.068e+00    4.359e+02    3.754e+02   4.057e+02   4.057e+02   4.786e-02  
      40   1.615634e+04   9.984e+02   5.468e+00   1.258e-01   4.072e+01   1.046e+00    4.361e+02    3.754e+02   4.057e+02   4.057e+02  -3.446e-02  
