     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   1.649592e+04   7.681e+02   3.313e+01   1.258e-01   3.085e+01   1.086e+00    5.650e+02    5.050e+02   5.350e+02   5.352e+02   1.522e-01  
       1   1.649615e+04   7.405e+02   2.557e+01   1.258e-01   3.060e+01   1.086e+00    5.657e+02    5.052e+02   5.354e+02   5.351e+02  -2.875e-01  
       2   1.649637e+04   8.511e+02   1.129e+01   1.258e-01   3.538e+01   1.079e+00    5.654e+02    5.050e+02   5.352e+02   5.351e+02  -3.942e-02  
       3   1.649660e+04   8.316e+02   1.239e+01   1.258e-01   3.316e+01   1.017e+00    5.655e+02    5.048e+02   5.352e+02   5.351e+02  -1.227e-02  
       4   1.649682e+04   7.853e+02   1.560e+01   1.258e-01   3.079e+01   1.010e+00    5.653e+02    5.051e+02   5.352e+02   5.351e+02  -7.594e-02  
       5   1.649705e+04   7.919e+02   1.470e+01   1.258e-01   3.124e+01   1.014e+00    5.654e+02    5.049e+02   5.352e+02   5.351e+02  -4.620e-02  
       6   1.649727e+04   7.938e+02   1.265e+01   1.258e-01   3.245e+01   1.053e+00    5.653e+02    5.049e+02   5.351e+02   5.351e+02   1.532e-04  
       7   1.649750e+04   8.402e+02   9.824e+00   1.258e-01   3.411e+01   1.038e+00    5.655e+02    5.050e+02   5.352e+02   5.351e+02  -1.052e-01  
       8   1.649772e+04   7.984e+02   9.062e+00   1.258e-01   3.273e+01   1.049e+00    5.654e+02    5.049e+02   5.351e+02   5.351e+02  -1.772e-03  
       9   1.649795e+04   7.914e+02   1.079e+01   1.258e-01   3.188e+01   1.026e+00    5.654e+02    5.049e+02   5.352e+02   5.351e+02  -5.272e-02  
      10   1.649817e+04   8.257e+02   9.247e+00   1.258e-01   3.309e+01   1.027e+00    5.653e+02    5.049e+02   5.351e+02   5.351e+02   1.488e-02  
      11   1.649839e+04   8.124e+02   7.370e+00   1.258e-01   3.256e+01   1.017e+00    5.654e+02    5.048e+02   5.351e+02   5.351e+02   4.141e-03  
