     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   1.763837e+04   3.297e+02   1.199e+01   4.247e+01   1.639e+01   1.209e+00    9.910e+02    9.300e+02   9.605e+02   9.618e+02   1.279e+00  
       1   1.763861e+04   3.511e+02   9.701e+00   1.052e+00   1.685e+01   1.157e+00    9.910e+02    9.315e+02   9.613e+02   9.617e+02   4.781e-01  
       2   1.763884e+04   3.244e+02   6.717e+00   1.300e-01   1.531e+01   1.115e+00    9.910e+02    9.311e+02   9.611e+02   9.617e+02   6.628e-01  
       3   1.763908e+04   3.860e+02   7.117e+00   1.258e-01   1.745e+01   1.077e+00    9.910e+02    9.310e+02   9.610e+02   9.617e+02   6.636e-01  
       4   1.763932e+04   3.625e+02   7.165e+00   1.258e-01   1.703e+01   1.117e+00    9.927e+02    9.312e+02   9.619e+02   9.617e+02  -2.752e-01  
       5   1.763956e+04   3.594e+02   9.682e+00   1.258e-01   1.675e+01   1.122e+00    9.924e+02    9.310e+02   9.617e+02   9.616e+02  -7.609e-02  
       6   1.763980e+04   2.762e+02   1.397e+01   1.258e-01   1.331e+01   1.156e+00    9.917e+02    9.310e+02   9.614e+02   9.616e+02   2.030e-01  
       7   1.764004e+04   3.448e+02   9.274e+00   1.272e-01   1.629e+01   1.133e+00    9.922e+02    9.310e+02   9.616e+02   9.616e+02  -3.815e-02  
       8   1.764028e+04   3.404e+02   7.690e+00   8.457e-01   1.639e+01   1.152e+00    9.919e+02    9.309e+02   9.614e+02   9.615e+02   9.566e-02  
       9   1.764051e+04   3.256e+02   1.002e+01   7.361e+01   1.523e+01   1.113e+00    9.920e+02    9.310e+02   9.615e+02   9.615e+02  -4.477e-02  
      10   1.764075e+04   3.438e+02   8.263e+00   1.540e+03   1.636e+01   1.135e+00    9.918e+02    9.310e+02   9.614e+02   9.615e+02   2.082e-02  
      11   1.764099e+04   3.115e+02   7.754e+00   6.627e+03   1.480e+01   1.123e+00    9.921e+02    9.309e+02   9.615e+02   9.614e+02  -7.984e-02  
      12   1.764123e+04   3.224e+02   5.980e+00   5.856e+03   1.581e+01   1.166e+00    9.920e+02    9.312e+02   9.616e+02   9.614e+02  -1.991e-01  
      13   1.764147e+04   2.949e+02   9.174e+00   1.063e+03   1.423e+01   1.148e+00    9.919e+02    9.310e+02   9.615e+02   9.614e+02  -8.675e-02  
      14   1.764171e+04   3.144e+02   9.893e+00   3.972e+01   1.544e+01   1.173e+00    9.920e+02    9.311e+02   9.616e+02   9.613e+02  -2.462e-01  
      15   1.764195e+04   3.535e+02   5.627e+00   4.287e-01   1.718e+01   1.154e+00    9.920e+02    9.310e+02   9.615e+02   9.613e+02  -1.806e-01  
      16   1.764218e+04   3.418e+02   5.713e+00   1.263e-01   1.681e+01   1.173e+00    9.919e+02    9.311e+02   9.615e+02   9.613e+02  -2.444e-01  
      17   1.764242e+04   3.397e+02   3.164e+00   1.258e-01   1.644e+01   1.139e+00    9.922e+02    9.310e+02   9.616e+02   9.612e+02  -3.913e-01  
      18   1.764266e+04   3.185e+02   8.727e+00   1.258e-01   1.543e+01   1.154e+00    9.919e+02    9.311e+02   9.615e+02   9.612e+02  -3.257e-01  
      19   1.764290e+04   3.570e+02   5.365e+00   1.258e-01   1.704e+01   1.132e+00    9.920e+02    9.312e+02   9.616e+02   9.612e+02  -4.351e-01  
      20   1.764314e+04   3.549e+02   6.023e+00   1.258e-01   1.706e+01   1.139e+00    9.917e+02    9.303e+02   9.610e+02   9.611e+02   1.606e-01  
      21   1.764338e+04   3.231e+02   7.939e+00   1.258e-01   1.535e+01   1.128e+00    9.917e+02    9.306e+02   9.611e+02   9.611e+02  -1.119e-02  
      22   1.764362e+04   3.296e+02   6.433e+00   1.258e-01   1.602e+01   1.153e+00    9.917e+02    9.305e+02   9.611e+02   9.611e+02  -1.562e-02  
      23   1.764386e+04   3.336e+02   7.331e+00   1.258e-01   1.570e+01   1.116e+00    9.918e+02    9.305e+02   9.611e+02   9.610e+02  -9.898e-02  
      24   1.764410e+04   3.376e+02   6.656e+00   1.258e-01   1.620e+01   1.137e+00    9.909e+02    9.305e+02   9.607e+02   9.610e+02   3.074e-01  
      25   1.764433e+04   3.316e+02   4.972e+00   1.258e-01   1.562e+01   1.109e+00    9.910e+02    9.306e+02   9.608e+02   9.610e+02   1.871e-01  
      26   1.764457e+04   3.513e+02   7.193e+00   1.258e-01   1.674e+01   1.137e+00    9.911e+02    9.308e+02   9.610e+02   9.610e+02  -1.525e-02  
