     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   1.518592e+04   1.684e+03   2.282e+02   2.234e+00   5.118e+01   1.135e+00    7.700e+01    1.600e+01   4.650e+01   4.539e+01  -1.105e+00  
       1   1.518613e+04   1.276e+03   1.550e+02   1.351e+00   4.410e+01   1.135e+00    7.563e+01    1.534e+01   4.549e+01   4.542e+01  -6.152e-02  
       2   1.518634e+04   1.222e+03   6.581e+01   3.731e-01   4.793e+01   1.135e+00    7.607e+01    1.517e+01   4.562e+01   4.545e+01  -1.645e-01  
       3   1.518655e+04   1.286e+03   2.801e+01   1.425e-01   5.340e+01   1.134e+00    7.605e+01    1.483e+01   4.544e+01   4.548e+01   4.082e-02  
       4   1.518676e+04   1.268e+03   2.441e+01   1.262e-01   4.992e+01   1.054e+00    7.589e+01    1.521e+01   4.555e+01   4.551e+01  -3.502e-02  
       5   1.518697e+04   1.254e+03   2.264e+01   1.258e-01   4.915e+01   1.055e+00    7.593e+01    1.479e+01   4.536e+01   4.554e+01   1.778e-01  
       6   1.518717e+04   1.176e+03   2.295e+01   1.258e-01   4.470e+01   1.008e+00    7.594e+01    1.510e+01   4.552e+01   4.557e+01   4.839e-02  
       7   1.518738e+04   1.152e+03   2.314e+01   1.258e-01   4.511e+01   1.047e+00    7.604e+01    1.473e+01   4.539e+01   4.560e+01   2.123e-01  
       8   1.518759e+04   1.186e+03   1.766e+01   1.258e-01   4.660e+01   1.044e+00    7.601e+01    1.493e+01   4.547e+01   4.563e+01   1.577e-01  
       9   1.518780e+04   1.188e+03   1.594e+01   1.258e-01   4.912e+01   1.096e+00    7.612e+01    1.508e+01   4.560e+01   4.566e+01   5.831e-02  
      10   1.518801e+04   1.233e+03   1.572e+01   1.258e-01   5.049e+01   1.077e+00    7.606e+01    1.492e+01   4.549e+01   4.569e+01   1.991e-01  
      11   1.518822e+04   1.240e+03   1.616e+01   1.258e-01   5.075e+01   1.094e+00    7.620e+01    1.535e+01   4.578e+01   4.571e+01  -6.029e-02  
      12   1.518843e+04   1.230e+03   1.766e+01   1.258e-01   4.874e+01   1.050e+00    7.610e+01    1.524e+01   4.567e+01   4.574e+01   7.348e-02  
      13   1.518863e+04   1.212e+03   1.916e+01   1.258e-01   4.784e+01   1.054e+00    7.618e+01    1.514e+01   4.566e+01   4.577e+01   1.129e-01  
      14   1.518884e+04   1.208e+03   1.843e+01   1.258e-01   4.755e+01   1.045e+00    7.588e+01    1.520e+01   4.554e+01   4.580e+01   2.658e-01  
      15   1.518905e+04   1.248e+03   1.729e+01   1.258e-01   5.001e+01   1.069e+00    7.627e+01    1.505e+01   4.566e+01   4.583e+01   1.727e-01  
      16   1.518926e+04   1.269e+03   1.589e+01   1.258e-01   5.078e+01   1.064e+00    7.616e+01    1.511e+01   4.563e+01   4.586e+01   2.261e-01  
      17   1.518947e+04   1.283e+03   1.686e+01   1.258e-01   5.179e+01   1.088e+00    7.660e+01    1.503e+01   4.582e+01   4.589e+01   7.384e-02  
      18   1.518968e+04   1.319e+03   1.673e+01   1.258e-01   5.158e+01   1.050e+00    7.647e+01    1.524e+01   4.586e+01   4.592e+01   6.203e-02  
      19   1.518989e+04   1.267e+03   1.384e+01   1.258e-01   5.084e+01   1.071e+00    7.651e+01    1.547e+01   4.599e+01   4.595e+01  -4.324e-02  
      20   1.519009e+04   1.147e+03   1.972e+01   1.258e-01   4.589e+01   1.053e+00    7.710e+01    1.571e+01   4.641e+01   4.598e+01  -4.288e-01  
      21   1.519030e+04   1.169e+03   1.651e+01   1.258e-01   4.740e+01   1.074e+00    7.704e+01    1.520e+01   4.612e+01   4.601e+01  -1.160e-01  
      22   1.519051e+04   1.109e+03   1.996e+01   1.258e-01   4.461e+01   1.057e+00    7.648e+01    1.492e+01   4.570e+01   4.604e+01   3.323e-01  
      23   1.519072e+04   1.155e+03   1.682e+01   1.270e-01   4.685e+01   1.068e+00    7.655e+01    1.582e+01   4.618e+01   4.606e+01  -1.177e-01  
      24   1.519093e+04   1.206e+03   1.504e+01   1.847e-01   4.901e+01   1.076e+00    7.603e+01    1.496e+01   4.549e+01   4.609e+01   5.988e-01  
      25   1.519114e+04   1.273e+03   1.142e+01   9.867e-01   5.163e+01   1.079e+00    7.639e+01    1.510e+01   4.574e+01   4.612e+01   3.774e-01  
      26   1.519135e+04   1.213e+03   1.486e+01   4.045e+00   4.842e+01   1.055e+00    7.713e+01    1.583e+01   4.648e+01   4.615e+01  -3.314e-01  
      27   1.519156e+04   1.272e+03   1.516e+01   6.193e+00   5.135e+01   1.079e+00    7.681e+01    1.578e+01   4.630e+01   4.618e+01  -1.173e-01  
      28   1.519176e+04   1.262e+03   1.475e+01   5.891e+00   5.048e+01   1.061e+00    7.681e+01    1.592e+01   4.637e+01   4.621e+01  -1.572e-01  
      29   1.519197e+04   1.254e+03   1.446e+01   5.965e+00   5.150e+01   1.098e+00    7.677e+01    1.579e+01   4.628e+01   4.624e+01  -4.369e-02  
      30   1.519218e+04   1.255e+03   1.652e+01   2.886e+00   5.028e+01   1.063e+00    7.702e+01    1.601e+01   4.652e+01   4.627e+01  -2.481e-01  
      31   1.519239e+04   1.242e+03   1.513e+01   5.476e-01   5.121e+01   1.095e+00    7.682e+01    1.619e+01   4.650e+01   4.630e+01  -2.063e-01  
      32   1.519260e+04   1.278e+03   1.653e+01   1.458e-01   5.133e+01   1.069e+00    7.685e+01    1.593e+01   4.639e+01   4.633e+01  -6.467e-02  
      33   1.519281e+04   1.288e+03   1.426e+01   1.261e-01   5.223e+01   1.084e+00    7.691e+01    1.587e+01   4.639e+01   4.635e+01  -3.470e-02  
      34   1.519302e+04   1.216e+03   1.382e+01   1.258e-01   4.871e+01   1.049e+00    7.714e+01    1.594e+01   4.654e+01   4.638e+01  -1.531e-01  
      35   1.519323e+04   1.235e+03   1.247e+01   1.258e-01   4.992e+01   1.069e+00    7.703e+01    1.617e+01   4.660e+01   4.641e+01  -1.893e-01  
      36   1.519344e+04   1.222e+03   1.257e+01   1.258e-01   4.915e+01   1.053e+00    7.679e+01    1.621e+01   4.650e+01   4.644e+01  -5.828e-02  
      37   1.519364e+04   1.247e+03   1.390e+01   1.258e-01   5.069e+01   1.081e+00    7.700e+01    1.607e+01   4.653e+01   4.647e+01  -6.285e-02  
