     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   1.685981e+04   6.272e+02   1.599e+01   1.258e-01   2.710e+01   1.090e+00    7.010e+02    6.400e+02   6.705e+02   6.706e+02   8.152e-02  
       1   1.686004e+04   6.570e+02   1.113e+01   1.258e-01   2.862e+01   1.086e+00    7.008e+02    6.403e+02   6.705e+02   6.706e+02   2.675e-02  
       2   1.686027e+04   7.035e+02   5.802e+00   1.258e-01   2.916e+01   1.020e+00    7.002e+02    6.402e+02   6.702e+02   6.706e+02   3.232e-01  
       3   1.686050e+04   7.027e+02   7.319e+00   1.258e-01   2.870e+01   1.010e+00    7.010e+02    6.402e+02   6.706e+02   6.705e+02  -8.048e-02  
       4   1.686073e+04   6.382e+02   1.197e+01   1.258e-01   2.614e+01   1.022e+00    7.008e+02    6.402e+02   6.705e+02   6.705e+02   2.911e-02  
       5   1.686096e+04   6.046e+02   1.476e+01   1.258e-01   2.540e+01   1.049e+00    7.009e+02    6.402e+02   6.705e+02   6.705e+02  -2.048e-02  
       6   1.686119e+04   6.323e+02   1.001e+01   1.258e-01   2.679e+01   1.051e+00    7.006e+02    6.403e+02   6.705e+02   6.705e+02   2.287e-02  
       7   1.686142e+04   6.617e+02   1.151e+01   1.258e-01   2.814e+01   1.063e+00    7.011e+02    6.402e+02   6.706e+02   6.705e+02  -1.371e-01  
       8   1.686165e+04   6.245e+02   9.329e+00   1.258e-01   2.619e+01   1.031e+00    7.008e+02    6.402e+02   6.705e+02   6.705e+02  -2.391e-02  
       9   1.686187e+04   6.113e+02   9.758e+00   1.258e-01   2.566e+01   1.033e+00    7.009e+02    6.402e+02   6.705e+02   6.705e+02  -6.375e-02  
      10   1.686210e+04   6.325e+02   1.062e+01   1.258e-01   2.611e+01   1.022e+00    7.008e+02    6.403e+02   6.705e+02   6.704e+02  -9.105e-02  
      11   1.686233e+04   6.677e+02   1.043e+01   1.258e-01   2.764e+01   1.032e+00    7.009e+02    6.402e+02   6.705e+02   6.704e+02  -1.046e-01  
      12   1.686256e+04   6.783e+02   8.994e+00   1.258e-01   2.805e+01   1.029e+00    7.008e+02    6.401e+02   6.704e+02   6.704e+02  -1.273e-02  
      13   1.686279e+04   6.007e+02   1.022e+01   1.258e-01   2.537e+01   1.038e+00    7.008e+02    6.401e+02   6.705e+02   6.704e+02  -8.247e-02  
      14   1.686302e+04   6.661e+02   9.813e+00   1.258e-01   2.762e+01   1.031e+00    7.007e+02    6.401e+02   6.704e+02   6.704e+02   1.639e-02  
      15   1.686325e+04   6.441e+02   1.065e+01   1.258e-01   2.726e+01   1.057e+00    7.007e+02    6.400e+02   6.703e+02   6.704e+02   4.130e-02  
      16   1.686348e+04   6.101e+02   1.263e+01   1.258e-01   2.554e+01   1.040e+00    7.008e+02    6.399e+02   6.704e+02   6.704e+02  -9.367e-03  
      17   1.686371e+04   6.649e+02   8.881e+00   1.258e-01   2.816e+01   1.054e+00    7.007e+02    6.400e+02   6.704e+02   6.704e+02  -7.878e-03  
      18   1.686394e+04   6.809e+02   7.818e+00   1.258e-01   2.873e+01   1.049e+00    7.007e+02    6.400e+02   6.703e+02   6.703e+02   6.305e-03  
      19   1.686417e+04   6.681e+02   8.394e+00   1.258e-01   2.850e+01   1.059e+00    7.007e+02    6.400e+02   6.703e+02   6.703e+02  -1.522e-02  
      20   1.686440e+04   6.598e+02   9.253e+00   1.258e-01   2.792e+01   1.053e+00    7.006e+02    6.402e+02   6.704e+02   6.703e+02  -8.877e-02  
      21   1.686462e+04   6.726e+02   1.160e+01   1.258e-01   2.863e+01   1.066e+00    7.007e+02    6.400e+02   6.703e+02   6.703e+02  -4.002e-02  
      22   1.686485e+04   6.623e+02   8.257e+00   1.258e-01   2.807e+01   1.048e+00    7.005e+02    6.401e+02   6.703e+02   6.703e+02  -1.655e-02  
      23   1.686508e+04   6.572e+02   9.309e+00   1.258e-01   2.798e+01   1.056e+00    7.007e+02    6.400e+02   6.704e+02   6.703e+02  -8.312e-02  
      24   1.686531e+04   7.042e+02   9.686e+00   1.258e-01   2.921e+01   1.037e+00    7.006e+02    6.401e+02   6.703e+02   6.703e+02  -8.277e-02  
      25   1.686554e+04   6.732e+02   8.483e+00   1.258e-01   2.838e+01   1.044e+00    7.006e+02    6.399e+02   6.703e+02   6.702e+02  -1.334e-02  
      26   1.686577e+04   6.392e+02   1.036e+01   1.258e-01   2.656e+01   1.029e+00    7.006e+02    6.400e+02   6.703e+02   6.702e+02  -4.885e-02  
      27   1.686600e+04   6.706e+02   8.142e+00   1.258e-01   2.815e+01   1.042e+00    7.007e+02    6.399e+02   6.703e+02   6.702e+02  -8.957e-02  
      28   1.686623e+04   6.478e+02   7.791e+00   1.258e-01   2.726e+01   1.041e+00    7.006e+02    6.399e+02   6.702e+02   6.702e+02  -1.090e-02  
      29   1.686646e+04   6.582e+02   6.842e+00   1.258e-01   2.804e+01   1.054e+00    7.004e+02    6.398e+02   6.701e+02   6.702e+02   7.699e-02  
      30   1.686669e+04   6.562e+02   1.010e+01   1.258e-01   2.730e+01   1.033e+00    7.005e+02    6.399e+02   6.702e+02   6.702e+02  -1.414e-02  
      31   1.686692e+04   7.022e+02   4.957e+00   1.258e-01   3.009e+01   1.063e+00    7.004e+02    6.400e+02   6.702e+02   6.702e+02  -2.973e-02  
      32   1.686715e+04   6.727e+02   6.979e+00   1.258e-01   2.847e+01   1.048e+00    7.006e+02    6.400e+02   6.703e+02   6.702e+02  -1.225e-01  
      33   1.686738e+04   6.572e+02   8.542e+00   1.258e-01   2.817e+01   1.068e+00    7.005e+02    6.398e+02   6.702e+02   6.701e+02  -3.972e-02  
      34   1.686761e+04   6.566e+02   8.735e+00   1.258e-01   2.802e+01   1.065e+00    7.006e+02    6.399e+02   6.702e+02   6.701e+02  -1.164e-01  
      35   1.686784e+04   6.541e+02   7.330e+00   1.258e-01   2.848e+01   1.081e+00    7.006e+02    6.399e+02   6.702e+02   6.701e+02  -1.205e-01  
      36   1.686807e+04   6.376e+02   9.144e+00   1.258e-01   2.730e+01   1.058e+00    7.007e+02    6.396e+02   6.702e+02   6.701e+02  -6.251e-02  
      37   1.686830e+04   6.061e+02   1.075e+01   1.258e-01   2.620e+01   1.074e+00    7.004e+02    6.399e+02   6.702e+02   6.701e+02  -7.458e-02  
      38   1.686853e+04   6.344e+02   9.009e+00   1.258e-01   2.712e+01   1.060e+00    7.004e+02    6.399e+02   6.701e+02   6.701e+02  -6.385e-02  
