     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   1.724024e+04   4.943e+02   1.464e+01   1.258e-01   2.241e+01   1.110e+00    8.420e+02    7.810e+02   8.115e+02   8.125e+02   9.741e-01  
       1   1.724048e+04   4.764e+02   8.642e+00   1.258e-01   2.155e+01   1.085e+00    8.427e+02    7.819e+02   8.123e+02   8.125e+02   1.413e-01  
       2   1.724071e+04   5.598e+02   4.442e+00   1.258e-01   2.454e+01   1.051e+00    8.428e+02    7.820e+02   8.124e+02   8.124e+02   2.457e-02  
       3   1.724094e+04   5.041e+02   6.812e+00   1.258e-01   2.171e+01   1.027e+00    8.430e+02    7.821e+02   8.125e+02   8.124e+02  -1.023e-01  
       4   1.724118e+04   5.388e+02   8.382e+00   1.258e-01   2.342e+01   1.053e+00    8.430e+02    7.820e+02   8.125e+02   8.124e+02  -1.169e-01  
       5   1.724141e+04   5.128e+02   8.136e+00   1.258e-01   2.275e+01   1.075e+00    8.429e+02    7.823e+02   8.126e+02   8.124e+02  -2.494e-01  
       6   1.724165e+04   5.277e+02   9.090e+00   1.258e-01   2.340e+01   1.074e+00    8.427e+02    7.822e+02   8.125e+02   8.123e+02  -1.125e-01  
       7   1.724188e+04   5.566e+02   4.146e+00   1.258e-01   2.468e+01   1.064e+00    8.428e+02    7.821e+02   8.124e+02   8.123e+02  -1.119e-01  
       8   1.724211e+04   4.992e+02   8.543e+00   1.258e-01   2.205e+01   1.065e+00    8.428e+02    7.820e+02   8.124e+02   8.123e+02  -1.076e-01  
       9   1.724235e+04   5.183e+02   1.269e+01   1.258e-01   2.231e+01   1.054e+00    8.428e+02    7.820e+02   8.124e+02   8.123e+02  -9.875e-02  
      10   1.724258e+04   5.226e+02   1.498e+01   1.258e-01   2.243e+01   1.053e+00    8.427e+02    7.820e+02   8.124e+02   8.123e+02  -1.135e-01  
      11   1.724281e+04   4.292e+02   2.021e+01   1.258e-01   1.837e+01   1.045e+00    8.426e+02    7.820e+02   8.123e+02   8.122e+02  -7.890e-02  
      12   1.724305e+04   4.799e+02   1.875e+01   1.258e-01   2.079e+01   1.065e+00    8.427e+02    7.817e+02   8.122e+02   8.122e+02  -7.511e-04  
      13   1.724328e+04   4.602e+02   2.102e+01   1.258e-01   1.985e+01   1.062e+00    8.426e+02    7.815e+02   8.121e+02   8.122e+02   1.235e-01  
      14   1.724351e+04   5.034e+02   1.754e+01   1.258e-01   2.186e+01   1.068e+00    8.427e+02    7.819e+02   8.123e+02   8.122e+02  -1.014e-01  
      15   1.724375e+04   4.545e+02   1.225e+01   1.258e-01   2.018e+01   1.075e+00    8.427e+02    7.818e+02   8.122e+02   8.121e+02  -9.778e-02  
      16   1.724398e+04   5.019e+02   1.006e+01   1.258e-01   2.235e+01   1.079e+00    8.427e+02    7.816e+02   8.121e+02   8.121e+02  -1.117e-03  
      17   1.724422e+04   5.087e+02   1.200e+01   1.258e-01   2.235e+01   1.065e+00    8.426e+02    7.817e+02   8.121e+02   8.121e+02  -3.551e-02  
      18   1.724445e+04   5.468e+02   1.272e+01   1.258e-01   2.401e+01   1.078e+00    8.425e+02    7.817e+02   8.121e+02   8.121e+02  -7.792e-03  
      19   1.724468e+04   5.204e+02   1.145e+01   1.258e-01   2.302e+01   1.077e+00    8.425e+02    7.819e+02   8.122e+02   8.121e+02  -1.792e-01  
      20   1.724492e+04   5.026e+02   1.179e+01   1.258e-01   2.241e+01   1.085e+00    8.425e+02    7.818e+02   8.122e+02   8.120e+02  -1.338e-01  
      21   1.724515e+04   4.775e+02   9.459e+00   1.258e-01   2.143e+01   1.080e+00    8.425e+02    7.817e+02   8.121e+02   8.120e+02  -4.863e-02  
      22   1.724539e+04   4.393e+02   6.809e+00   1.258e-01   2.003e+01   1.085e+00    8.426e+02    7.817e+02   8.122e+02   8.120e+02  -1.605e-01  
      23   1.724562e+04   4.317e+02   6.944e+00   1.258e-01   1.962e+01   1.078e+00    8.427e+02    7.817e+02   8.122e+02   8.120e+02  -1.987e-01  
      24   1.724585e+04   4.864e+02   4.835e+00   1.284e-01   2.179e+01   1.060e+00    8.424e+02    7.816e+02   8.120e+02   8.119e+02  -5.230e-02  
      25   1.724609e+04   5.321e+02   1.343e+00   4.049e-01   2.368e+01   1.054e+00    8.423e+02    7.817e+02   8.120e+02   8.119e+02  -8.784e-02  
      26   1.724632e+04   4.926e+02   7.701e+00   6.768e+00   2.180e+01   1.061e+00    8.425e+02    7.815e+02   8.120e+02   8.119e+02  -8.439e-02  
      27   1.724656e+04   5.324e+02   6.086e+00   3.506e+01   2.342e+01   1.054e+00    8.424e+02    7.815e+02   8.119e+02   8.119e+02  -4.669e-02  
      28   1.724679e+04   5.491e+02   2.879e+00   4.631e+01   2.431e+01   1.055e+00    8.423e+02    7.815e+02   8.119e+02   8.119e+02  -5.087e-02  
      29   1.724703e+04   5.050e+02   6.867e+00   4.446e+01   2.234e+01   1.060e+00    8.424e+02    7.814e+02   8.119e+02   8.118e+02  -4.687e-02  
      30   1.724726e+04   4.973e+02   1.102e+01   4.060e+01   2.195e+01   1.067e+00    8.424e+02    7.815e+02   8.119e+02   8.118e+02  -9.549e-02  
      31   1.724749e+04   5.407e+02   5.002e+01   1.031e+01   2.164e+01   1.058e+00    8.422e+02    7.814e+02   8.118e+02   8.118e+02   2.459e-03  
      32   1.724773e+04   5.070e+02   9.974e+01   6.951e-01   1.889e+01   1.082e+00    8.422e+02    7.815e+02   8.118e+02   8.118e+02  -5.271e-02  
      33   1.724796e+04   4.782e+02   1.191e+02   1.328e-01   1.730e+01   1.078e+00    8.421e+02    7.813e+02   8.117e+02   8.118e+02   4.265e-02  
      34   1.724820e+04   4.548e+02   9.470e+01   1.258e-01   1.735e+01   1.094e+00    8.424e+02    7.814e+02   8.119e+02   8.117e+02  -1.308e-01  
      35   1.724843e+04   5.121e+02   3.973e+01   1.258e-01   2.167e+01   1.098e+00    8.420e+02    7.814e+02   8.117e+02   8.117e+02   2.212e-02  
      36   1.724866e+04   4.460e+02   2.016e+01   1.258e-01   1.983e+01   1.093e+00    8.420e+02    7.815e+02   8.118e+02   8.117e+02  -7.588e-02  
      37   1.724890e+04   5.034e+02   5.689e+01   1.258e-01   2.050e+01   1.096e+00    8.421e+02    7.814e+02   8.117e+02   8.117e+02  -3.976e-02  
      38   1.724913e+04   4.469e+02   1.030e+02   1.258e-01   1.680e+01   1.090e+00    8.422e+02    7.813e+02   8.118e+02   8.116e+02  -1.072e-01  
      39   1.724937e+04   5.379e+02   1.123e+02   1.258e-01   1.955e+01   1.080e+00    8.419e+02    7.813e+02   8.116e+02   8.116e+02  -1.468e-02  
      40   1.724960e+04   4.696e+02   8.462e+01   1.258e-01   1.807e+01   1.080e+00    8.419e+02    7.814e+02   8.117e+02   8.116e+02  -7.656e-02  
      41   1.724984e+04   5.104e+02   3.422e+01   1.258e-01   2.133e+01   1.066e+00    8.420e+02    7.814e+02   8.117e+02   8.116e+02  -1.185e-01  
      42   1.725007e+04   4.795e+02   1.067e+01   1.258e-01   2.127e+01   1.069e+00    8.421e+02    7.812e+02   8.116e+02   8.116e+02  -8.456e-02  
