     row  mean_flux  
  pixels     counts  
       0         56  
       1         57  
       2         58  
       3         61  
       4         65  
       5         77  
       6        107  
       7        158  
       8        199  
       9        209  
      10        186  
      11        139  
      12         91  
      13         69  
      14         61  
      15         57  
      16         56  
      17         56  
      18         56  
      19         55  
      20         55  
      21         55  
      22         55  
      23         55  
      24         55  
      25         54  
      26         54  
      27         55  
      28         54  
      29         54  
      30         55  
      31         54  
      32         54  
      33         54  
      34         54  
      35         55  
      36         54  
      37         54  
      38         54  
      39         54  
      40         54  
      41         54  
      42         54  
      43         54  
      44         54  
      45         54  
      46         55  
      47         54  
      48         54  
      49         54  
      50         54  
      51         63  
