     row  mean_flux  
  pixels     counts  
       0         83  
       1         84  
       2         89  
       3         99  
       4        121  
       5        167  
       6        231  
       7        280  
       8        303  
       9        294  
      10        233  
      11        155  
      12        109  
      13         93  
      14         87  
      15         85  
      16         84  
      17         83  
      18         82  
      19         81  
      20         80  
      21         81  
      22         81  
      23         80  
      24         80  
      25         80  
      26         80  
      27         80  
      28         80  
      29         80  
      30         79  
      31         79  
      32         79  
      33         79  
      34         80  
      35         80  
      36         79  
      37         80  
      38         80  
      39         80  
      40         80  
      41         80  
      42         80  
      43         79  
      44         80  
      45         80  
      46         80  
      47         80  
      48         80  
