     row  mean_flux  
  pixels     counts  
       0         55  
       1         55  
       2         55  
       3         56  
       4         59  
       5         65  
       6         81  
       7        115  
       8        156  
       9        174  
      10        170  
      11        143  
      12        101  
      13         71  
      14         60  
      15         56  
      16         54  
      17         53  
      18         53  
      19         53  
      20         53  
      21         53  
      22         53  
      23         53  
      24         53  
      25         52  
      26         52  
      27         53  
      28         52  
      29         52  
      30         52  
      31         52  
      32         52  
      33         52  
      34         52  
      35         52  
      36         52  
      37         52  
      38         52  
      39         52  
      40         52  
      41         51  
      42         52  
      43         53  
      44         52  
      45         53  
      46         53  
      47         52  
      48         52  
      49         52  
      50         52  
      51         53  
