     row  mean_flux  
  pixels     counts  
       0         75  
       1         75  
       2         75  
       3         75  
       4         76  
       5         79  
       6         87  
       7        103  
       8        139  
       9        197  
      10        241  
      11        256  
      12        236  
      13        177  
      14        119  
      15         91  
      16         81  
      17         78  
      18         77  
      19         77  
      20         75  
      21         75  
      22         74  
      23         73  
      24         73  
      25         74  
      26         73  
      27         73  
      28         73  
      29         73  
      30         73  
      31         73  
      32         72  
      33         73  
      34         73  
      35         73  
      36         72  
      37         73  
      38         73  
      39         73  
      40         73  
      41         73  
      42         72  
      43         72  
      44         72  
      45         72  
      46         72  
      47         72  
      48         72  
      49         73  
      50         73  
      51         73  
