     row  mean_flux  
  pixels     counts  
       0         69  
       1         71  
       2         71  
       3         72  
       4         73  
       5         73  
       6         78  
       7         89  
       8        112  
       9        156  
      10        218  
      11        268  
      12        296  
      13        298  
      14        253  
      15        171  
      16        111  
      17         86  
      18         78  
      19         75  
      20         74  
      21         73  
      22         72  
      23         71  
      24         70  
      25         70  
      26         70  
      27         70  
      28         70  
      29         69  
      30         69  
      31         69  
      32         69  
      33         69  
      34         69  
      35         69  
      36         69  
      37         69  
      38         69  
      39         69  
      40         69  
      41         69  
      42         69  
      43         69  
      44         69  
      45         69  
      46         69  
      47         69  
      48         69  
      49         70  
      50         69  
      51         69  
      52         69  
