     row  mean_flux  
  pixels     counts  
       0        307  
       1        307  
       2        306  
       3        307  
       4        309  
       5        312  
       6        320  
       7        338  
       8        354  
       9        359  
      10        356  
      11        347  
      12        331  
      13        316  
      14        309  
      15        307  
      16        306  
      17        306  
      18        305  
      19        305  
      20        305  
      21        305  
      22        305  
      23        305  
      24        306  
      25        305  
      26        305  
      27        305  
      28        305  
      29        304  
      30        304  
      31        304  
      32        304  
      33        304  
      34        305  
      35        305  
      36        305  
      37        304  
      38        304  
      39        304  
      40        305  
      41        305  
      42        305  
      43        305  
      44        305  
      45        304  
      46        304  
      47        305  
      48        305  
      49        305  
      50        305  
      51        305  
      52        305  
