     row  mean_flux  
  pixels     counts  
       0         80  
       1         80  
       2         80  
       3         80  
       4         81  
       5         84  
       6         90  
       7        104  
       8        133  
       9        159  
      10        167  
      11        161  
      12        138  
      13        110  
      14         91  
      15         83  
      16         80  
      17         79  
      18         79  
      19         78  
      20         78  
      21         78  
      22         78  
      23         78  
      24         79  
      25         78  
      26         78  
      27         78  
      28         78  
      29         78  
      30         78  
      31         78  
      32         77  
      33         77  
      34         77  
      35         78  
      36         77  
      37         78  
      38         78  
      39         78  
      40         78  
      41         78  
      42         78  
      43         77  
      44         77  
      45         77  
      46         78  
      47         78  
      48         78  
      49         78  
      50         78  
      51         78  
      52         78  
